name,ra_deg,dec_deg,dm,dm_err,galactic_lat
FRB20190330B,269.41,52.81,668.0927,0.0019,29.23
FRB20190401A,196.8,79.91,783.216,0.017,37.19
FRB20190402A,178.61,47.1,1291.69,0.082,67.11
FRB20190403G,81.74,25.78,865.311,0.014,-5.19
FRB20190403A,116.33,86.36,518.834,0.012,27.92
FRB20190403B,135.47,1.46,292.473,0.028,29.41
FRB20190403C,249.83,58.7,935.009,0.028,39.91
FRB20190403D,326.53,84.29,613.458,0.026,23.12
FRB20190403E,220.22,86.54,226.198,0.01,30.19
FRB20190403F,43.34,33.14,664.184,0.022,-23.14
FRB20190404A,143.1,36.9,1353.9007,0.0095,47.18
FRB20190404B,259.79,40.0,489.42307,0.00064,34.07
FRB20190405A,337.02,20.96,424.884,0.031,-30.71
FRB20190405B,236.48,89.16,1113.218,0.0087,27.73
FRB20190406A,283.52,46.96,580.2254,0.0093,19.04
FRB20190408A,262.2,71.6,863.3796,0.007,32.13
FRB20190409A,79.52,6.72,1791.8908,0.0053,-17.27
FRB20190409B,126.65,63.47,285.633,0.044,34.63
FRB20190409C,252.6,71.62,674.631,0.014,35.04
FRB20190409D,336.64,26.95,1300.118,0.011,-25.68
FRB20190410A,263.47,-2.37,284.02,0.01,16.04
FRB20190410B,265.76,15.17,642.1699,0.0091,21.83
FRB20190411A,80.0,83.89,460.5552,0.0074,24.62
FRB20190411B,154.03,29.23,1229.581,0.021,55.86
FRB20190411C,9.33,20.5,233.66,0.0038,-42.25
FRB20190411C,9.33,20.5,233.66,0.0038,-42.25
FRB20190412A,243.45,61.87,364.7329,0.0034,41.95
FRB20190412B,285.65,19.25,375.75,0.28,6.28
FRB20190414A,181.44,38.9,811.981,0.028,74.85
FRB20190414B,246.9,57.53,506.489,0.09,41.7
FRB20190415A,182.38,71.28,633.681,0.025,45.46
FRB20190415B,8.86,54.85,722.993,0.075,-7.95
FRB20190415C,74.81,34.8,650.182,0.024,-4.78
FRB20190416A,144.99,33.3,2287.265,0.043,48.53
FRB20190416B,172.19,35.95,575.36,0.015,70.36
FRB20190417B,174.87,64.72,1161.2,0.14,50.7
FRB20190417A,294.85,59.4,1380.08,0.13,17.36
FRB20190417C,45.68,71.26,320.23188,0.00043,11.04
FRB20190418A,65.79,16.04,184.5069,0.0076,-22.93
FRB20190419A,104.98,64.88,439.972,0.057,25.27
FRB20190419B,255.27,86.74,165.0752,0.0047,28.6
FRB20190420B,94.73,70.12,846.8432,0.0044,22.71
FRB20190420A,106.55,55.96,609.0998,0.0065,24.2
FRB20190420C,248.1,37.25,629.954,0.059,42.84
FRB20190421A,208.03,48.24,223.641,0.015,65.81
FRB20190421A,208.03,48.24,223.641,0.015,65.81
FRB20190421B,82.49,62.31,392.2475,0.0015,15.06
FRB20190422B,158.27,45.67,977.386,0.053,56.95
FRB20190422A,48.56,35.15,452.302,0.01,-19.17
FRB20190422A,48.56,35.15,452.302,0.01,-19.17
FRB20190422A,48.56,35.15,452.302,0.01,-19.17
FRB20190423A,179.68,55.25,242.64562,0.0006,60.29
FRB20190423A,179.68,55.25,242.64562,0.0006,60.29
FRB20190423B,298.58,26.19,584.949,0.02,-0.87
FRB20190423B,298.58,26.19,584.949,0.02,-0.87
FRB20190423C,349.08,86.97,855.5273,0.0046,24.35
FRB20190423D,29.69,84.8,496.455,0.018,22.14
FRB20190424A,168.3,63.78,758.672,0.0043,50.06
